Date,Entry Time,Signal,Regime,Exit Reason,PnL,Entry,Exit,Ticker
2026-02-10,2026-02-10 10:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-21.0,7197.5,7218.5,APOLLOHOSP
2026-02-12,2026-02-12 10:00:00+05:30,LONG,BULLISH,Trailing SL (Below 21EMA),23.0,7504.0,7527.0,APOLLOHOSP
2025-12-01,2025-12-01 10:00:00+05:30,LONG,BULLISH,Hard SL,-29.0,6162.0,6133.0,LTIM
2026-01-09,2026-01-09 09:45:00+05:30,LONG,BULLISH,Hard SL,-29.25,6071.0,6041.75,LTIM
2026-01-13,2026-01-13 11:15:00+05:30,LONG,BULLISH,Hard SL,-36.75,6087.0,6050.25,LTIM
2026-01-28,2026-01-28 11:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),0.5,5952.5,5952.0,LTIM
2026-01-29,2026-01-29 14:00:00+05:30,LONG,BULLISH,EOD Square Off,6.0,5994.0,6000.0,LTIM
2026-01-30,2026-01-30 10:30:00+05:30,LONG,BULLISH,Trailing SL (Below 21EMA),-12.0,5955.0,5943.0,LTIM
2026-02-09,2026-02-09 10:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),6.5,5575.0,5568.5,LTIM
2026-02-11,2026-02-11 10:00:00+05:30,SHORT,BEARISH,EOD Square Off,116.5,5615.5,5499.0,LTIM
2026-02-16,2026-02-16 10:15:00+05:30,SHORT,BEARISH,Hard SL,-36.0,5070.0,5106.0,LTIM
2026-02-19,2026-02-19 10:15:00+05:30,SHORT,BEARISH,EOD Square Off,83.5,5043.0,4959.5,LTIM
2026-02-20,2026-02-20 10:30:00+05:30,LONG,BULLISH,Trailing SL (Below 21EMA),5.5,4936.0,4941.5,LTIM
2025-12-08,2025-12-08 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,91.10009765625,3295.300048828125,3204.199951171875,SIEMENS
2025-12-18,2025-12-18 12:45:00+05:30,SHORT,BEARISH,EOD Square Off,4.0,3078.0,3074.0,SIEMENS
